public_field,field_scope,data_type,definition,source_system,upstream_owner,update_cadence,publication_rule,redaction_boundary
market_status,top_level,object,"Deterministic market state emitted from circuit-breaker and stress control orchestration.",D2+D3 response and circuit controllers,Market controls service,Every 60 seconds or immediately on transition,"Publish state enum, reason code, affected instruments, and next review time.","Do not publish internal anti-gaming thresholds or operator-only incident notes."
vault_capital,top_level,object,"Current vault backstop capital and utilization snapshot in settlement currency.",C1 vault ledger and exposure engine,Vault accounting service,Every 60 seconds,"Publish total, committed margin, available backstop, and utilization ratio.","Do not publish wallet addresses, signer identities, or internal treasury routing."
long_short_imbalance,top_level,array,"Per-instrument signed directional imbalance between long and short open interest.",B2 market-state aggregation,Market state service,Every 30 seconds,"Publish signed ratio, long notional, short notional, and net bias.","Do not publish participant-level positions or market-maker inventory identities."
open_interest,top_level,array,"Per-instrument open interest exposure snapshot and recent growth velocity.",B2 market-state aggregation,Market state service,Every 30 seconds,"Publish contracts, gross notional, and 1-hour velocity percent.","Do not publish account concentration, position ownership, or internal order identifiers."
current_leverage_band,top_level,array,"Per-instrument live leverage band after governance limits and stress controls are applied.",C2 leverage band engine,Risk controls service,Every 60 seconds,"Publish min leverage, max leverage, governance ceiling, and named drivers.","Do not publish proprietary weighting constants or hidden anti-manipulation buffers."
funding_rate,top_level,array,"Per-instrument funding output used to transfer cost between long and short positioning.",B3 funding engine,Funding service,Every 60 seconds,"Publish current hourly rate, projected 8-hour equivalent, settlement interval, and sign convention.","Do not publish private coefficient calibration, maker routing, or quote attribution."
volatility_metric,top_level,array,"Per-instrument realized volatility and acceleration values used by leverage and stress controls.",A3 index outputs plus D1 stress metrics,Index and stress service,Every 60 seconds,"Publish 1-hour realized volatility, 24-hour realized volatility, and acceleration.","Do not publish source-level raw tick history or proprietary smoothing coefficients."
risk_parameter_band,top_level,array,"Per-instrument active control band after spread, cap, and stress multipliers are applied.",C1+C3+D2 control outputs,Risk controls service,Every 60 seconds,"Publish stress level, effective minimum spread, position cap, open-interest cap, and funding multiplier band.","Do not publish market-maker protection logic, queue-priority rules, or internal escalation thresholds."
market_status.state,leaf,string,"Operator-visible state enum for the market or affected instruments.",D3 circuit-breaker state machine,Market controls service,Every 60 seconds or immediately on transition,"Publish exact enum value from the approved state list.","Do not publish manual operator commentary."
market_status.reason_code,leaf,string,"Machine-readable cause for the current market status.",D2+D3 controls,Market controls service,Every 60 seconds or immediately on transition,"Publish concise reason code suitable for downstream UI and audit use.","Do not publish internal runbook instructions."
vault_capital.total,leaf,number,"Total vault capital denominated in USDC.",C1 vault ledger,Vault accounting service,Every 60 seconds,"Publish full number with standard decimal precision.","Do not publish underlying wallet segmentation."
vault_capital.utilization_ratio,leaf,number,"Committed margin divided by total vault capital.",C1 vault ledger,Vault accounting service,Every 60 seconds,"Publish normalized ratio from 0 to 1.","Do not publish private reserve-buffer formulas."
long_short_imbalance.imbalance_ratio,leaf,number,"Signed ratio of net notional to gross notional for an instrument.",B2 market-state aggregation,Market state service,Every 30 seconds,"Publish signed decimal between -1 and 1.","Do not publish account-level breakdowns."
open_interest.velocity_1h_pct,leaf,number,"One-hour percent change in gross notional open interest.",B2 market-state aggregation,Market state service,Every 30 seconds,"Publish trailing one-hour percent change.","Do not publish hidden lookback variants."
current_leverage_band.max_leverage,leaf,number,"Maximum leverage currently allowed for new exposure on the instrument.",C2 leverage band engine,Risk controls service,Every 60 seconds,"Publish effective maximum leverage after all live adjustments.","Do not publish intermediate model coefficients."
funding_rate.current_hourly_rate_bps,leaf,number,"Current hourly funding rate in basis points.",B3 funding engine,Funding service,Every 60 seconds,"Publish signed basis-point value and settlement direction convention.","Do not publish internal clamp coefficients."
volatility_metric.volatility_acceleration_pct_per_hour,leaf,number,"Rate of change in short-horizon realized volatility.",D1 stress metrics,Index and stress service,Every 60 seconds,"Publish the first derivative used for stress signaling.","Do not publish unreleased stress thresholds."
risk_parameter_band.effective_min_spread_bps,leaf,number,"Current minimum spread floor enforced for quoting and matching protection.",C3 spread control,Risk controls service,Every 60 seconds,"Publish active spread floor in basis points.","Do not publish market-maker specific quote protections."
risk_parameter_band.position_cap_notional,leaf,number,"Maximum single-position notional allowed under the active risk state.",C1 caps plus D2 stress responses,Risk controls service,Every 60 seconds,"Publish the active notional cap per instrument.","Do not publish participant-specific overrides because none are allowed."
